Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,0.000,94.900,18.714,0.000,0.000,0.000,nan,nan,656.000,nan,nan,315.117,nan,1732.475,79.298
0.5,0.000,0.025,0.000,83.020,18.836,0.000,0.000,0.000,102.000,4.000,574.000,53.000,72.781,288.753,27.000,1717.840,78.674
0.5,0.000,0.020,0.000,71.600,18.986,0.000,0.000,0.000,102.000,4.000,548.000,53.000,72.094,295.297,27.000,1700.680,77.884
0.5,0.000,0.020,0.000,62.040,19.107,0.000,0.000,0.000,100.000,4.000,650.000,53.000,72.594,275.387,27.000,1694.640,77.561
0.5,0.000,0.025,0.000,54.460,19.204,0.000,0.000,0.000,100.000,4.000,572.000,53.000,72.594,265.841,27.000,1690.100,77.360
0.5,0.000,0.020,0.000,47.940,19.281,0.000,0.000,0.000,100.000,4.000,640.000,53.000,72.594,312.875,27.000,1685.520,77.168
0.5,0.000,0.020,0.000,42.240,19.354,0.000,0.000,0.000,100.000,4.000,596.000,53.000,72.375,335.828,27.000,1678.362,76.804
0.5,0.000,0.020,0.000,36.880,19.410,0.000,0.000,0.000,100.000,4.000,642.000,53.000,72.375,282.928,27.000,1669.518,76.408
0.5,0.000,0.025,0.000,33.260,19.461,0.000,0.000,0.000,100.000,4.000,566.000,52.000,72.375,285.669,27.000,1662.400,76.124
0.5,0.000,0.020,0.000,30.880,19.499,0.000,0.000,0.000,100.000,4.000,662.000,52.000,72.281,284.053,27.000,1656.680,75.835
0.5,0.000,0.020,0.000,28.780,19.535,0.000,0.000,0.000,100.000,4.000,644.000,52.000,72.281,268.947,27.000,1651.480,75.607
0.5,0.000,0.020,0.000,26.740,19.563,0.000,0.000,0.000,100.000,4.000,598.000,52.000,72.281,249.522,27.000,1645.760,75.302
0.5,0.000,0.020,0.000,24.380,19.588,0.000,0.000,0.000,100.000,4.000,564.000,52.000,72.000,244.750,27.000,1642.920,75.217
0.5,0.000,0.025,0.000,21.720,19.613,0.000,0.000,0.000,100.000,4.000,644.000,52.000,72.094,247.628,27.000,1639.240,75.020
0.5,0.000,0.020,0.000,19.860,19.634,0.000,0.000,0.000,100.000,4.000,558.000,52.000,72.094,244.250,27.000,1635.940,74.886
0.5,0.000,0.020,0.000,19.000,19.651,0.000,0.000,0.000,100.000,4.000,632.000,52.000,72.875,243.588,27.000,1633.000,74.734
0.5,0.000,0.020,0.000,18.660,19.661,0.000,0.000,0.000,100.000,4.000,560.000,52.000,71.875,239.875,27.000,1631.280,74.647
0.5,0.000,0.020,0.000,17.480,19.680,0.000,0.000,0.000,100.000,4.000,620.000,51.000,71.875,239.125,27.000,1629.480,74.605
0.5,0.000,0.020,0.000,16.720,19.689,0.000,0.000,0.000,100.000,4.000,560.000,51.000,71.688,239.022,27.000,1618.020,74.082
0.5,0.000,0.020,0.000,16.000,19.701,0.000,0.000,0.000,100.000,4.000,646.000,51.000,71.688,236.500,27.000,1612.940,73.831
0.5,0.000,0.025,0.000,15.520,19.708,0.000,0.000,0.000,100.000,4.000,644.000,51.000,71.688,233.500,27.000,1603.960,73.440
0.5,0.000,0.020,0.000,14.800,19.723,0.000,0.000,0.000,100.000,4.000,650.000,51.000,71.500,234.125,27.000,1595.920,73.073
0.5,0.000,0.020,0.000,13.700,19.723,0.000,0.000,0.000,100.000,4.000,608.000,51.000,71.500,240.872,27.000,1587.200,72.643
0.5,0.000,0.020,0.000,12.640,19.723,0.000,0.000,0.000,100.000,4.000,576.000,51.000,71.281,237.250,27.000,1579.260,72.339
0.5,0.000,0.020,0.000,13.000,19.744,0.000,0.000,0.000,100.000,2.000,582.000,51.000,71.281,236.250,27.000,1574.200,72.046
0.5,0.000,0.020,0.000,13.200,19.744,0.000,0.000,0.000,100.000,2.000,564.000,51.000,71.281,231.500,27.000,1574.780,72.081
0.5,0.000,0.020,0.000,13.000,19.744,0.000,0.000,0.000,100.000,4.000,590.000,51.000,71.094,229.750,27.000,1574.320,72.050
0.5,0.000,0.020,0.000,12.320,19.744,0.000,0.000,0.000,100.000,2.000,558.000,50.000,71.094,227.500,27.000,1575.680,72.135
0.5,0.000,0.020,0.000,12.000,19.759,0.000,0.000,0.000,100.000,2.000,640.000,50.000,71.094,226.000,27.000,1574.100,72.067
0.5,0.000,0.020,0.000,11.920,19.766,0.000,0.000,0.000,100.000,2.000,612.000,50.000,71.000,234.034,27.000,1573.720,72.048
0.5,0.000,0.020,0.000,11.100,19.766,0.000,0.000,0.000,100.000,2.000,640.000,50.000,71.000,237.553,27.000,1573.720,72.002
0.5,0.000,0.020,0.000,11.000,19.766,0.000,0.000,0.000,100.000,2.000,608.000,50.000,70.781,230.000,27.000,1574.120,72.081
0.5,0.000,0.020,2.925,11.000,19.772,14.200,21.440,18.420,100.000,2.000,638.000,50.000,70.781,220.875,27.000,1590.140,72.731
0.5,0.000,0.020,22.535,11.000,19.715,82.200,112.889,64.600,116.000,20.000,620.000,50.000,70.781,221.250,27.000,1621.700,74.074
0.5,0.000,0.020,25.115,41.400,18.038,78.500,nan,68.920,138.000,42.000,622.000,50.000,70.594,234.375,27.000,1660.800,75.892
0.5,0.000,0.020,23.050,206.400,15.644,66.700,115.250,64.260,146.000,48.000,654.000,50.000,70.594,250.416,27.000,1701.900,77.795
0.5,0.000,0.025,18.650,383.560,13.954,55.350,100.680,57.040,136.000,40.000,588.000,50.000,70.594,263.931,27.000,1737.660,79.460
0.5,0.500,0.020,16.445,503.780,12.986,50.750,89.080,53.980,132.000,36.000,616.000,49.000,70.375,271.863,27.000,1770.980,81.001
0.5,0.000,0.025,11.350,562.820,12.471,38.900,66.000,46.760,124.000,28.000,590.000,49.000,70.375,273.478,27.000,1801.160,82.356
0.5,0.000,0.020,9.665,578.360,12.312,35.450,58.180,44.860,120.000,22.000,562.000,49.000,70.500,282.731,27.000,1826.480,83.536
0.5,0.000,0.025,7.545,570.580,12.309,30.200,47.600,41.740,116.000,18.000,668.000,49.000,70.188,277.884,27.000,1850.920,84.672
0.5,0.000,0.025,4.885,542.040,12.457,22.800,33.720,37.260,110.000,14.000,576.000,49.000,70.188,277.591,27.000,1869.340,85.514
0.5,0.000,0.025,3.465,502.320,12.852,18.200,25.460,35.240,104.000,8.000,640.000,49.000,70.281,276.709,27.000,1888.680,86.440
0.5,0.000,0.020,2.240,457.520,13.376,13.350,18.012,32.740,102.000,6.000,632.000,49.000,70.000,271.863,27.000,1905.057,87.179
0.5,0.000,0.025,1.520,409.800,13.921,9.350,12.160,31.480,102.000,4.000,542.000,49.000,70.094,268.484,27.000,1920.957,87.884
0.5,0.000,0.025,0.945,363.160,14.490,5.617,7.303,30.147,102.000,4.000,630.000,49.000,69.781,261.288,27.000,1936.327,88.617
0.5,0.000,0.025,0.195,322.540,15.066,1.133,1.480,26.627,102.000,4.000,604.000,49.000,69.781,261.728,27.000,1945.120,88.957
0.5,0.000,0.025,0.160,278.260,15.762,0.750,1.040,26.380,102.000,4.000,616.000,49.000,69.781,254.594,27.000,1953.960,89.414
0.5,0.000,0.025,0.010,233.180,16.439,0.000,0.000,24.440,102.000,4.000,652.000,49.000,69.688,246.131,27.000,1962.340,89.781
0.5,0.000,0.025,0.000,194.460,17.008,0.000,0.000,23.800,102.000,4.000,588.000,49.000,69.688,240.800,27.000,1967.620,90.024
0.5,0.000,0.025,0.000,160.800,17.507,0.000,0.000,23.600,102.000,4.000,648.000,49.000,69.688,235.125,27.000,1971.000,90.232
0.5,0.000,0.025,0.000,133.820,17.919,0.000,0.000,21.860,102.000,4.000,614.000,49.000,68.781,233.375,27.000,1973.000,90.262
0.5,0.000,0.025,1.620,112.160,18.252,10.000,12.540,33.720,100.000,4.000,660.000,49.000,69.500,235.616,27.000,1976.140,90.338
0.5,0.000,0.025,20.685,91.840,18.479,65.950,97.380,66.080,116.000,20.000,578.000,49.000,69.500,231.175,27.000,1989.100,90.982
0.5,0.000,0.025,28.835,90.240,17.385,70.500,117.820,73.140,144.000,48.000,686.000,49.000,69.500,242.500,27.000,2007.480,91.812
0.5,0.000,0.025,31.030,192.080,15.384,73.900,122.950,74.480,164.000,68.000,646.000,48.000,69.375,250.100,27.000,2030.300,92.858
0.5,0.000,0.030,24.035,317.120,13.772,59.650,102.720,66.920,162.000,64.000,642.000,48.000,69.375,268.925,27.000,2051.440,93.845
0.5,0.000,0.025,10.295,419.120,12.925,29.900,52.160,51.560,136.000,38.000,666.000,48.000,69.375,274.506,27.000,2062.040,94.360
0.5,0.000,0.025,6.410,456.420,12.763,24.100,36.440,47.080,118.000,22.000,632.000,48.000,69.375,277.150,27.000,2067.720,94.594
0.5,0.000,0.025,6.505,447.720,12.998,25.100,36.480,47.420,114.000,18.000,698.000,48.000,69.375,269.659,27.000,2074.580,94.915
0.5,0.000,0.030,6.235,405.980,13.366,24.650,35.400,47.400,112.000,16.000,708.000,48.000,69.188,270.981,27.000,2079.780,95.178
0.5,0.000,0.025,5.410,368.780,13.666,21.250,30.480,45.540,112.000,16.000,704.000,48.000,69.188,264.959,27.000,2082.540,95.314
0.5,0.000,0.025,2.460,337.700,13.925,10.400,14.380,38.640,108.000,10.000,666.000,48.000,69.188,268.191,27.000,2084.900,95.415
0.5,0.000,0.030,0.375,310.440,14.255,1.200,2.080,31.340,104.000,6.000,662.000,48.000,69.188,267.163,27.000,2081.200,95.267
0.5,0.000,0.025,0.170,284.820,14.861,0.600,0.980,30.540,102.000,6.000,686.000,48.000,69.188,258.666,27.000,2076.820,95.044
0.5,0.000,0.025,0.115,244.560,15.626,0.450,0.820,30.640,102.000,6.000,698.000,48.000,69.188,252.744,27.000,2067.740,94.653
0.5,0.000,0.025,1.460,207.760,16.373,8.250,10.420,36.040,102.000,6.000,634.000,48.000,69.094,239.197,27.000,2055.340,94.072
0.5,0.000,0.030,5.650,170.360,16.946,25.150,33.940,45.660,104.000,8.000,672.000,48.000,69.094,237.631,27.000,2047.020,93.678
0.5,0.000,0.025,12.245,146.320,17.074,43.700,63.480,55.020,114.000,16.000,670.000,48.000,69.094,257.166,27.000,2029.360,92.916
0.5,0.000,0.025,16.445,141.640,16.479,49.400,79.620,59.420,126.000,30.000,666.000,48.000,69.094,252.547,27.000,2015.420,92.265
0.5,0.000,0.025,18.185,169.920,15.439,48.900,86.100,60.800,134.000,38.000,644.000,48.000,69.094,263.534,27.000,1996.900,91.468
0.5,0.000,0.025,19.315,222.940,14.517,50.000,90.840,61.620,136.000,40.000,692.000,48.000,69.094,270.981,27.000,1975.660,90.425
0.5,0.000,0.025,22.050,278.780,13.738,54.450,101.360,64.200,140.000,44.000,606.000,48.000,69.094,275.094,27.000,1949.460,89.301
0.5,0.000,0.025,22.925,336.160,13.015,55.900,105.880,64.800,144.000,48.000,594.000,48.000,69.188,282.144,27.000,1922.440,88.021
0.5,0.000,0.025,23.570,400.420,12.393,58.450,110.260,65.360,146.000,50.000,580.000,48.000,68.875,289.928,27.000,1899.620,86.964
0.5,0.000,0.025,23.845,468.240,11.872,60.400,113.540,65.780,148.000,52.000,612.000,48.000,68.875,292.425,27.000,1878.460,86.028
0.5,0.000,0.020,24.525,532.260,11.433,62.850,118.560,67.020,150.000,52.000,590.000,48.000,68.875,295.803,27.000,1863.920,85.296
0.5,0.000,0.025,24.665,598.100,11.046,63.850,120.060,67.200,152.000,54.000,580.000,48.000,68.875,299.916,27.000,1854.000,84.880
0.5,0.000,0.025,24.630,659.240,10.716,64.000,120.740,67.200,152.000,54.000,656.000,48.000,68.875,303.881,27.000,1846.480,84.496
0.5,0.000,0.020,24.615,709.240,10.464,64.000,120.800,67.200,152.000,56.000,654.000,48.000,68.875,304.469,27.000,1844.200,84.436
0.5,0.000,0.025,24.625,750.340,10.269,64.000,120.917,67.200,152.000,56.000,656.000,48.000,68.875,309.316,27.000,1844.092,84.412
0.5,0.000,0.025,24.655,785.420,10.120,64.000,120.623,67.200,152.000,56.000,600.000,48.000,68.781,307.994,27.000,1848.563,84.571
0.5,0.000,0.025,24.650,811.020,10.013,63.950,120.000,67.200,152.000,56.000,604.000,48.000,68.781,310.491,28.000,1854.533,84.880
0.5,0.000,0.020,24.680,831.500,9.933,63.350,119.222,67.200,154.000,56.000,584.000,48.000,68.781,312.694,28.000,1864.647,85.318
0.5,0.000,0.025,24.765,845.500,9.876,63.000,118.180,67.200,154.000,58.000,590.000,48.000,68.781,313.428,28.000,1876.140,85.826
0.5,0.000,0.025,24.520,854.460,9.844,61.250,114.120,66.240,154.000,58.000,658.000,48.000,68.781,316.953,28.000,1891.540,86.527
0.5,0.000,0.025,17.780,860.980,9.833,46.050,86.920,57.600,144.000,48.000,670.000,48.000,68.781,311.519,28.000,1905.260,87.166
0.5,0.000,0.025,14.195,855.760,9.965,41.150,74.160,53.960,134.000,38.000,530.000,48.000,68.781,310.050,28.000,1918.520,87.768
0.5,0.000,0.020,11.400,804.440,10.388,36.100,61.520,50.260,128.000,32.000,612.000,48.000,68.781,311.812,28.000,1934.460,88.486
0.5,0.000,0.025,7.272,735.140,10.868,27.400,43.580,44.540,122.000,24.000,678.000,48.000,68.781,303.587,27.000,1949.460,89.207
0.5,0.000,0.025,5.744,659.640,11.439,23.700,35.580,42.500,114.000,18.000,560.000,48.000,68.781,298.153,27.000,1967.360,89.980
0.5,0.000,0.025,7.575,583.220,12.081,29.250,43.320,46.300,114.000,18.000,604.000,48.000,68.781,298.741,27.000,1990.100,91.012
0.5,0.000,0.025,7.542,512.100,12.596,28.400,42.480,47.200,116.000,18.000,696.000,48.000,68.781,297.272,27.000,2017.500,92.306
0.5,0.000,0.030,7.230,458.160,12.947,27.700,40.820,47.780,116.000,18.000,676.000,48.000,68.781,296.391,27.000,2047.620,93.615
0.5,0.000,0.025,5.970,413.900,13.238,23.250,34.140,46.800,114.000,18.000,618.000,48.000,68.781,299.769,27.000,2076.780,95.005
0.5,0.000,0.025,3.940,375.040,13.519,16.900,23.740,43.060,112.000,16.000,596.000,48.000,68.781,311.666,27.000,2091.300,95.734
0.5,0.000,0.030,1.765,347.080,13.814,8.000,10.640,38.900,106.000,10.000,646.000,48.000,68.781,327.306,27.000,2100.140,96.096
0.5,0.000,0.025,2.145,318.600,14.259,10.200,13.200,39.800,104.000,8.000,682.000,48.000,68.781,341.300,27.000,2087.960,95.592
0.5,0.000,0.025,2.195,288.900,14.777,10.900,13.920,39.620,104.000,8.000,712.000,48.000,68.781,348.053,27.000,2077.580,95.073
0.5,0.000,0.025,0.875,259.840,15.174,4.950,6.540,14.340,104.000,8.000,638.000,48.000,68.781,334.631,27.000,2064.080,94.512
0.5,0.000,0.030,0.000,239.020,15.525,0.000,0.000,0.000,104.000,6.000,700.000,48.000,68.781,316.953,27.000,2044.900,93.626
0.5,0.000,0.025,0.000,213.200,16.070,0.000,0.000,0.000,104.000,6.000,718.000,48.000,68.781,315.778,27.000,2008.700,92.020
0.5,0.000,0.025,0.000,183.760,16.668,0.000,0.000,0.000,102.000,6.000,672.000,48.000,68.781,301.091,27.000,1973.180,90.364
0.5,0.000,0.025,0.000,155.580,17.221,0.000,0.000,0.000,102.000,6.000,684.000,48.000,68.781,286.697,27.000,1934.000,88.591
0.5,0.000,0.025,0.780,126.460,17.681,3.300,4.680,16.260,102.000,6.000,686.000,48.000,68.781,275.094,27.000,1910.920,87.490
0.5,0.000,0.025,8.205,104.880,18.059,33.850,47.920,44.240,104.000,8.000,640.000,48.000,68.781,268.925,27.000,1899.080,86.888
0.5,0.000,0.020,12.750,92.080,17.981,45.300,69.660,51.440,116.000,20.000,628.000,48.000,68.781,265.569,27.000,1887.220,86.384
0.5,0.000,0.025,13.065,114.720,16.922,44.000,71.340,51.620,122.000,26.000,582.000,48.000,68.781,262.462,27.000,1878.000,85.982
0.5,0.000,0.025,13.240,187.100,15.829,43.800,72.160,52.000,124.000,28.000,658.000,48.000,68.781,275.094,27.000,1872.280,85.704
0.5,0.000,0.025,15.505,249.020,14.959,47.950,80.580,54.380,126.000,28.000,682.000,48.000,68.781,274.212,27.000,1864.860,85.348
0.5,0.000,0.020,20.020,301.560,14.228,55.950,98.040,60.000,132.000,34.000,576.000,48.000,68.781,277.884,27.000,1858.560,85.062
0.5,0.000,0.025,21.530,358.960,13.458,57.750,105.740,62.360,138.000,42.000,676.000,48.000,68.875,282.731,27.000,1850.860,84.714
0.5,0.000,0.025,22.755,430.460,12.729,60.200,112.600,64.240,142.000,44.000,602.000,48.000,68.500,283.906,27.000,1837.640,84.118
0.5,0.000,0.020,24.040,500.700,12.105,63.750,120.200,66.400,146.000,50.000,600.000,48.000,68.594,287.578,27.000,1824.080,83.494
0.5,0.000,0.025,24.655,569.600,11.543,66.000,123.057,67.380,150.000,54.000,588.000,48.000,68.594,292.719,27.000,1805.740,82.674
0.5,0.000,0.025,26.275,641.740,11.043,69.900,nan,70.140,154.000,58.000,628.000,48.000,68.594,300.356,27.000,1787.840,81.824
0.5,0.000,0.020,26.930,721.320,10.567,71.250,nan,71.140,158.000,60.000,678.000,48.000,68.594,299.475,27.000,1765.060,80.833
0.5,0.000,0.025,27.225,794.380,10.144,71.100,nan,71.900,160.000,64.000,592.000,48.000,68.594,307.700,27.000,1743.380,79.825
0.5,0.000,0.020,27.285,863.960,9.781,72.350,nan,72.060,160.000,64.000,666.000,48.000,68.594,306.084,27.000,1718.492,78.712
0.5,0.000,0.020,28.360,930.180,9.473,75.400,nan,73.120,162.000,66.000,670.000,48.000,68.594,311.959,27.000,1695.953,77.658
0.5,0.000,0.025,28.555,998.060,9.176,76.650,nan,73.200,164.000,68.000,640.000,48.000,68.594,311.812,27.000,1675.917,76.734
0.5,0.000,0.020,28.890,1057.180,8.894,77.900,nan,73.580,164.000,68.000,576.000,48.000,68.594,313.869,27.000,1654.520,75.778
0.5,0.000,0.020,29.510,1104.240,8.642,79.800,nan,74.320,166.000,70.000,654.000,48.000,68.688,317.981,27.000,1637.560,74.960
0.5,0.000,0.020,29.950,1148.260,8.390,80.900,nan,74.600,168.000,70.000,586.000,48.000,68.688,321.800,27.000,1620.120,74.177
0.5,0.000,0.020,32.260,1187.880,8.150,85.750,nan,76.860,172.000,74.000,652.000,48.000,68.375,331.641,27.000,1604.520,73.456
0.5,0.000,0.020,32.565,1222.920,7.858,87.000,nan,77.200,176.000,78.000,660.000,48.000,68.375,331.641,28.000,1589.280,72.765
0.5,0.000,0.020,32.485,1253.580,7.569,87.200,nan,77.200,176.000,78.000,560.000,48.000,68.375,334.431,28.000,1576.900,72.206
0.5,0.000,0.020,32.425,1286.820,7.333,88.000,nan,77.200,176.000,78.000,630.000,48.000,68.375,337.956,28.000,1564.040,71.613
0.5,0.000,0.020,32.335,1319.280,7.133,88.100,nan,77.200,174.000,78.000,632.000,49.000,68.375,340.453,28.000,1549.660,70.974
0.5,0.000,0.020,32.200,1354.380,6.957,88.900,nan,77.200,174.000,78.000,628.000,49.000,68.375,340.600,28.000,1537.660,70.382
0.5,0.000,0.020,32.110,1385.900,6.789,89.000,nan,77.200,174.000,78.000,614.000,49.000,68.375,343.097,28.000,1525.760,69.842
0.5,0.000,0.020,32.000,1416.760,6.634,89.050,nan,77.200,174.000,76.000,650.000,49.000,68.375,352.163,28.000,1514.800,69.354
0.5,0.000,0.020,31.940,1443.920,6.484,89.700,nan,77.200,172.000,76.000,580.000,49.000,68.375,352.972,28.000,1505.680,68.924
0.5,0.000,0.020,24.955,1471.400,6.346,74.400,116.225,66.320,172.000,74.000,632.000,49.000,68.375,356.703,28.000,1495.120,68.438
0.5,0.000,0.015,24.270,1491.420,6.284,76.750,118.733,65.160,148.000,50.000,606.000,49.000,68.375,356.531,28.000,1483.040,67.892
0.5,0.000,0.020,22.590,1488.300,6.480,74.350,nan,62.260,146.000,50.000,652.000,49.000,68.375,354.469,28.000,1471.600,67.359
0.5,0.000,0.020,5.925,1461.980,6.645,24.683,29.800,20.180,136.000,38.000,550.000,50.000,68.375,353.781,28.000,1446.640,66.323
0.5,0.000,0.015,0.930,1426.940,7.038,5.400,6.700,8.600,108.000,10.000,610.000,50.000,68.375,345.153,27.000,1417.960,64.912
0.5,0.000,0.020,12.215,1315.880,8.542,56.500,82.380,40.880,108.000,12.000,628.000,50.000,68.375,332.522,27.000,1391.520,63.829
0.5,0.000,0.015,0.130,1137.580,9.802,1.600,3.940,0.120,108.000,10.000,566.000,50.000,68.375,326.206,27.000,1359.620,62.389
0.5,0.000,0.020,0.000,1034.680,10.392,0.000,0.000,0.000,102.000,6.000,626.000,50.000,67.875,321.359,27.000,1325.480,60.770
0.5,0.000,0.015,0.000,925.820,11.428,0.000,0.000,0.000,102.000,4.000,568.000,50.000,67.688,312.547,27.000,1155.900,58.088
0.5,0.000,0.015,0.645,803.340,12.619,7.300,11.300,0.000,100.000,2.000,382.000,50.000,68.688,305.644,28.000,767.280,53.630
0.5,0.000,0.015,1.585,681.080,13.816,16.750,27.540,0.000,96.000,0.000,390.000,50.000,68.688,301.238,28.000,712.940,47.718
0.5,0.000,0.010,1.440,569.420,14.740,15.050,24.440,0.000,94.000,0.000,426.000,50.000,68.688,294.628,28.000,752.460,41.037
0.5,0.000,0.010,1.285,503.320,15.272,13.950,22.220,0.000,94.000,0.000,366.000,50.000,68.688,292.278,28.000,753.960,33.498
0.5,0.000,0.010,1.480,476.560,15.572,15.650,25.180,0.000,94.000,0.000,352.000,50.000,68.688,295.216,28.000,742.480,25.195
0.5,0.000,0.005,1.485,464.200,15.776,15.650,25.180,0.000,94.000,0.000,382.000,51.000,68.688,288.019,28.000,749.940,17.758
0.5,0.000,0.005,1.365,453.120,15.920,14.500,23.320,0.000,94.000,0.000,374.000,51.000,68.375,284.641,28.000,755.080,19.475
0.5,0.000,0.000,1.360,445.440,16.026,14.350,23.200,0.000,94.000,0.000,404.000,51.000,68.375,282.291,28.000,750.640,8.058
0.5,0.000,0.000,1.605,439.820,16.119,16.550,27.020,0.000,94.000,0.000,404.000,51.000,68.375,279.794,28.000,740.540,4.762
0.5,0.000,0.000,1.294,435.750,16.191,13.938,22.075,0.000,94.000,0.000,400.000,nan,nan,277.664,28.000,763.663,0.598
